"","","secondColumnOut"
"1","e","3IO present imperative active singular"
"2","ite","3IO present imperative active plural"
"3","ere","3IO present infinitive active"
"4","are","1st present infinitive active"
"5","ere","2nd present infinitive active"
"6","ere","3rd present infinitive active"
"7","ire","4th present infinitive active"
"8","ari","1st present infinitive passive"
"9","eri","2nd present infinitive passive"
"10","i","3rd present infinitive passive"
"11","ire","4th present infinitive passive"
"12","a","1st imperative active singular"
"13","ate","1st imperative active plural"
"14","e","2nd imperative active singular"
"15","ete","2nd imperative active plural"
"16","e","3rd imperative active singular"
"17","ite","3rd imperative active plural"
"18","i","4th imperative active singular"
"19","ite","4th imperative active plural"
"20","are","1st imperative passive singular"
"21","amini","1st imperative passive plural"
"22","ere","2nd imperative passive singular"
"23","emini","2nd imperative passive plural"
"24","ere","3rd imperative passive singular"
"25","imini","3rd imperative passive plural"
"26","ire","4th imperative passive singular"
"27","imini","4th imperative passive plural"
"28","abam","1st imperfect indicative active 1stPerson singular"
"29","abamini","1st imperfect indicative passive 2ndPerson plural"
"30","abamur","1st imperfect indicative passive 1stPerson plural"
"31","abamus","1st imperfect indicative active 1stPerson plural"
"32","abant","1st imperfect indicative active 3rdPerson plural"
"33","abantur","1st imperfect indicative passive 3rdPerson plural"
"34","abar","1st imperfect indicative passive 1stPerson singular"
"35","abaris","1st imperfect indicative passive 2ndPerson singular"
"36","abas","1st imperfect indicative active 2ndPerson singular"
"37","abat","1st imperfect indicative active 3rdPerson singular"
"38","abatis","1st imperfect indicative active 2ndPerson plural"
"39","abatur","1st imperfect indicative passive 3rdPerson singular"
"40","aberis","1st future indicative passive 2ndPerson singular"
"41","abimini","1st future indicative passive 2ndPerson plural"
"42","abimur","1st future indicative passive 1stPerson plural"
"43","abimus","1st future indicative active 1stPerson plural"
"44","abis","1st future indicative active 2ndPerson singular"
"45","abit","1st future indicative active 3rdPerson singular"
"46","abitis","1st future indicative active 2ndPerson plural"
"47","abitur","1st future indicative passive 3rdPerson singular"
"48","abo","1st future indicative active 1stPerson singular"
"49","abor","1st future indicative passive 1stPerson singular"
"50","abunt","1st future indicative active 3rdPerson plural"
"51","abuntur","1st future indicative passive 3rdPerson plural"
"52","am","3rd future indicative active 1stPerson singular"
"53","am","3rd present subjunctive active 1stPerson singular"
"54","amini","1st present indicative passive 2ndPerson plural"
"55","amini","3rd present subjunctive passive 2ndPerson plural"
"56","amur","1st present indicative passive 1stPerson plural"
"57","amur","3rd present subjunctive passive 1stPerson plural"
"58","amus","1st present indicative active 1stPerson plural"
"59","amus","3rd present subjunctive active 1stPerson plural"
"60","ant","1st present indicative active 3rdPerson plural"
"61","ant","3rd present subjunctive active 3rdPerson plural"
"62","antur","1st present indicative passive 3rdPerson plural"
"63","antur","3rd present subjunctive passive 3rdPerson plural"
"64","ar","3rd future indicative passive 1stPerson singular"
"65","ar","3rd present subjunctive passive 1stPerson singular"
"66","arem","1st imperfect subjunctive active 1stPerson singular"
"67","aremini","1st imperfect subjunctive passive 2ndPerson plural"
"68","aremur","1st imperfect subjunctive passive 1stPerson plural"
"69","aremus","1st imperfect subjunctive active 1stPerson singular"
"70","arent","1st imperfect subjunctive active 1stPerson singular"
"71","arentur","1st imperfect subjunctive passive 3rdPerson plural"
"72","arer","1st imperfect subjunctive passive 1stPerson singular"
"73","areris","1st imperfect subjunctive passive 2ndPerson singular"
"74","ares","1st imperfect subjunctive active 1stPerson singular"
"75","aret","1st imperfect subjunctive active 1stPerson singular"
"76","aretis","1st imperfect subjunctive active 1stPerson singular"
"77","aretur","1st imperfect subjunctive passive 3rdPerson singular"
"78","aris","1st present indicative passive 2ndPerson singular"
"79","aris","3rd present subjunctive passive 2ndPerson singular"
"80","as","1st present indicative active 2ndPerson singular"
"81","as","3rd present subjunctive active 2ndPerson singular"
"82","at","1st present indicative active 3rdPerson singular"
"83","at","3rd present subjunctive active 3rdPerson singular"
"84","atis","1st present indicative active 2ndPerson plural"
"85","atis","3rd present subjunctive active 2ndPerson plural"
"86","atur","1st present indicative passive 3rdPerson singular"
"87","atur","3rd present subjunctive passive 3rdPerson singular"
"88","eam","2nd present subjunctive active 1stPerson singular"
"89","eamini","2nd present subjunctive passive 2ndPerson plural"
"90","eamur","2nd present subjunctive passive 1stPerson plural"
"91","eamus","2nd present subjunctive active 1stPerson plural"
"92","eant","2nd present subjunctive active 3rdPerson plural"
"93","eantur","2nd present subjunctive passive 3rdPerson plural"
"94","ear","2nd present subjunctive passive 1stPerson singular"
"95","earis","2nd present subjunctive passive 2ndPerson singular"
"96","eas","2nd present subjunctive active 2ndPerson singular"
"97","eat","2nd present subjunctive active 3rdPerson singular"
"98","eatis","2nd present subjunctive active 2ndPerson plural"
"99","eatur","2nd present subjunctive passive 3rdPerson singular"
"100","ebam","2nd imperfect indicative active 1stPerson singular"
"101","ebam","3rd imperfect indicative active 1stPerson singular"
"102","ebamini","2nd imperfect indicative passive 2ndPerson plural"
"103","ebamini","3rd imperfect indicative passive 2ndPerson plural"
"104","ebamur","2nd imperfect indicative passive 1stPerson plural"
"105","ebamur","3rd imperfect indicative passive 1stPerson plural"
"106","ebamus","2nd imperfect indicative active 1stPerson plural"
"107","ebamus","3rd imperfect indicative active 1stPerson plural"
"108","ebant","2nd imperfect indicative active 3rdPerson plural"
"109","ebant","3rd imperfect indicative active 3rdPerson plural"
"110","ebantur","2nd imperfect indicative passive 3rdPerson plural"
"111","ebantur","3rd imperfect indicative passive 3rdPerson plural"
"112","ebar","2nd imperfect indicative passive 1stPerson singular"
"113","ebar","3rd imperfect indicative passive 1stPerson singular"
"114","ebaris","2nd imperfect indicative passive 2ndPerson singular"
"115","ebaris","3rd imperfect indicative passive 2ndPerson singular"
"116","ebas","2nd imperfect indicative active 2ndPerson singular"
"117","ebas","3rd imperfect indicative active 2ndPerson singular"
"118","ebat","2nd imperfect indicative active 3rdPerson singular"
"119","ebat","3rd imperfect indicative active 3rdPerson singular"
"120","ebatis","2nd imperfect indicative active 2ndPerson plural"
"121","ebatis","3rd imperfect indicative active 2ndPerson plural"
"122","ebatur","2nd imperfect indicative passive 3rdPerson singular"
"123","ebatur","3rd imperfect indicative passive 3rdPerson singular"
"124","eberis","2nd future indicative passive 2ndPerson singular"
"125","ebimini","2nd future indicative passive 2ndPerson plural"
"126","ebimur","2nd future indicative passive 1stPerson plural"
"127","ebimus","2nd future indicative active 1stPerson plural"
"128","ebis","2nd future indicative active 2ndPerson singular"
"129","ebit","2nd future indicative active 3rdPerson singular"
"130","ebitis","2nd future indicative active 2ndPerson plural"
"131","ebitur","2nd future indicative passive 3rdPerson singular"
"132","ebo","2nd future indicative active 1stPerson singular"
"133","ebor","2nd future indicative passive 1stPerson singular"
"134","ebunt","2nd future indicative active 3rdPerson plural"
"135","ebuntur","2nd future indicative passive 3rdPerson plural"
"136","em","1st present subjunctive active 1stPerson singular"
"137","emini","1st present subjunctive passive 2ndPerson plural"
"138","emini","2nd present indicative passive 2ndPerson plural"
"139","emini","3rd future indicative passive 2ndPerson plural"
"140","emur","1st present subjunctive passive 1stPerson plural"
"141","emur","2nd present indicative passive 1stPerson plural"
"142","emur","3rd future indicative passive 1stPerson plural"
"143","emus","1st present subjunctive active 1stPerson plural"
"144","emus","2nd present indicative active 1stPerson plural"
"145","emus","3rd future indicative active 1stPerson plural"
"146","ent","1st present subjunctive active 3rdPerson plural"
"147","ent","2nd present indicative active 3rdPerson plural"
"148","ent","3rd future indicative active 3rdPerson plural"
"149","entur","1st present subjunctive passive 3rdPerson plural"
"150","entur","2nd present indicative passive 3rdPerson plural"
"151","entur","3rd future indicative passive 3rdPerson plural"
"152","eo","2nd present indicative active 1stPerson singular"
"153","eor","2nd present indicative passive 1stPerson singular"
"154","er","1st present subjunctive passive 1stPerson singular"
"155","erem","2nd imperfect subjunctive active 1stPerson singular"
"156","erem","3rd imperfect subjunctive active 1stPerson singular"
"157","eremini","2nd imperfect subjunctive passive 2ndPerson plural"
"158","eremini","3rd imperfect subjunctive passive 2ndPerson plural"
"159","eremur","2nd imperfect subjunctive passive 1stPerson plural"
"160","eremur","3rd imperfect subjunctive passive 1stPerson plural"
"161","eremus","2nd imperfect subjunctive active 1stPerson singular"
"162","eremus","3rd imperfect subjunctive active 1stPerson singular"
"163","erent","2nd imperfect subjunctive active 1stPerson singular"
"164","erent","3rd imperfect subjunctive active 1stPerson singular"
"165","erentur","2nd imperfect subjunctive passive 3rdPerson plural"
"166","erentur","3rd imperfect subjunctive passive 3rdPerson plural"
"167","erer","2nd imperfect subjunctive passive 1stPerson singular"
"168","erer","3rd imperfect subjunctive passive 1stPerson singular"
"169","ereris","2nd imperfect subjunctive passive 2ndPerson singular"
"170","ereris","3rd imperfect subjunctive passive 2ndPerson singular"
"171","eres","2nd imperfect subjunctive active 1stPerson singular"
"172","eres","3rd imperfect subjunctive active 1stPerson singular"
"173","eret","2nd imperfect subjunctive active 1stPerson singular"
"174","eret","3rd imperfect subjunctive active 1stPerson singular"
"175","eretis","2nd imperfect subjunctive active 1stPerson singular"
"176","eretis","3rd imperfect subjunctive active 1stPerson singular"
"177","eretur","2nd imperfect subjunctive passive 3rdPerson singular"
"178","eretur","3rd imperfect subjunctive passive 3rdPerson singular"
"179","eris","1st present subjunctive passive 2ndPerson singular"
"180","eris","2nd present indicative passive 2ndPerson singular"
"181","eris","3rd future indicative passive 2ndPerson singular"
"182","eris","3rd present indicative passive 2ndPerson singular"
"183","es","1st present subjunctive active 2ndPerson singular"
"184","es","2nd present indicative active 2ndPerson singular"
"185","es","3rd future indicative active 2ndPerson singular"
"186","et","1st present subjunctive active 3rdPerson singular"
"187","et","2nd present indicative active 3rdPerson singular"
"188","et","3rd future indicative active 3rdPerson singular"
"189","etis","1st present subjunctive active 2ndPerson plural"
"190","etis","2nd present indicative active 2ndPerson plural"
"191","etis","3rd future indicative active 2ndPerson plural"
"192","etur","1st present subjunctive passive 3rdPerson singular"
"193","etur","2nd present indicative passive 3rdPerson singular"
"194","etur","3rd future indicative passive 3rdPerson singular"
"195","iam","4th future indicative active 1stPerson singular"
"196","iam","4th present subjunctive active 1stPerson singular"
"197","iamini","4th present subjunctive passive 2ndPerson plural"
"198","iamur","4th present subjunctive passive 1stPerson plural"
"199","iamus","4th present subjunctive active 1stPerson plural"
"200","iant","4th present subjunctive active 3rdPerson plural"
"201","iantur","4th present subjunctive passive 3rdPerson plural"
"202","iar","4th future indicative passive 1stPerson singular"
"203","iar","4th present subjunctive passive 1stPerson singular"
"204","iaris","4th present subjunctive passive 2ndPerson singular"
"205","ias","4th present subjunctive active 2ndPerson singular"
"206","iat","4th present subjunctive active 3rdPerson singular"
"207","iatis","4th present subjunctive active 2ndPerson plural"
"208","iatur","4th present subjunctive passive 3rdPerson singular"
"209","iebam","4th imperfect indicative active 1stPerson singular"
"210","iebamini","4th imperfect indicative passive 2ndPerson plural"
"211","iebamur","4th imperfect indicative passive 1stPerson plural"
"212","iebamus","4th imperfect indicative active 1stPerson plural"
"213","iebant","4th imperfect indicative active 3rdPerson plural"
"214","iebantur","4th imperfect indicative passive 3rdPerson plural"
"215","iebar","4th imperfect indicative passive 1stPerson singular"
"216","iebaris","4th imperfect indicative passive 2ndPerson singular"
"217","iebas","4th imperfect indicative active 2ndPerson singular"
"218","iebat","4th imperfect indicative active 3rdPerson singular"
"219","iebatis","4th imperfect indicative active 2ndPerson plural"
"220","iebatur","4th imperfect indicative passive 3rdPerson singular"
"221","iemini","4th future indicative passive 2ndPerson plural"
"222","iemur","4th future indicative passive 1stPerson plural"
"223","iemus","4th future indicative active 1stPerson plural"
"224","ient","4th future indicative active 3rdPerson plural"
"225","ientur","4th future indicative passive 3rdPerson plural"
"226","ieris","4th future indicative passive 2ndPerson singular"
"227","ies","4th future indicative active 2ndPerson singular"
"228","iet","4th future indicative active 3rdPerson singular"
"229","ietis","4th future indicative active 2ndPerson plural"
"230","ietur","4th future indicative passive 3rdPerson singular"
"231","imini","3rd present indicative passive 2ndPerson plural"
"232","imini","4th present indicative passive 2ndPerson plural"
"233","imur","3rd present indicative passive 1stPerson plural"
"234","imur","4th present indicative passive 1stPerson plural"
"235","imus","3rd present indicative active 1stPerson plural"
"236","imus","4th present indicative active 1stPerson plural"
"237","io","4th present indicative active 1stPerson singular"
"238","ior","4th present indicative passive 1stPerson singular"
"239","irem","4th imperfect subjunctive active 1stPerson singular"
"240","iremini","4th imperfect subjunctive passive 2ndPerson plural"
"241","iremur","4th imperfect subjunctive passive 1stPerson plural"
"242","iremus","4th imperfect subjunctive active 1stPerson singular"
"243","irent","4th imperfect subjunctive active 1stPerson singular"
"244","irentur","4th imperfect subjunctive passive 3rdPerson plural"
"245","irer","4th imperfect subjunctive passive 1stPerson singular"
"246","ireris","4th imperfect subjunctive passive 2ndPerson singular"
"247","ires","4th imperfect subjunctive active 1stPerson singular"
"248","iret","4th imperfect subjunctive active 1stPerson singular"
"249","iretis","4th imperfect subjunctive active 1stPerson singular"
"250","iretur","4th imperfect subjunctive passive 3rdPerson singular"
"251","iris","4th present indicative passive 2ndPerson singular"
"252","is","3rd present indicative active 2ndPerson singular"
"253","is","4th present indicative active 2ndPerson singular"
"254","it","3rd present indicative active 3rdPerson singular"
"255","it","4th present indicative active 3rdPerson singular"
"256","it is","4th present indicative active 2ndPerson plural"
"257","itis","3rd present indicative active 2ndPerson plural"
"258","itur","3rd present indicative passive 3rdPerson singular"
"259","itur","4th present indicative passive 3rdPerson singular"
"260","iunt","4th present indicative active 3rdPerson plural"
"261","iuntur","4th present indicative passive 3rdPerson plural"
"262","o","1st present indicative active 1stPerson singular"
"263","o","3rd present indicative active 1stPerson singular"
"264","or","1st present indicative passive 1stPerson singular"
"265","or","3rd present indicative passive 1stPerson singular"
"266","unt","3rd present indicative active 3rdPerson plural"
"267","untur","3rd present indicative passive 3rdPerson plural"
"268","io","3IO present indicative active 1stPerson singular"
"269","is","3IO present indicative active 2ndPerson singular"
"270","it","3IO present indicative active 3rdPerson singular"
"271","imus","3IO present indicative active 1stPerson plural"
"272","itis","3IO present indicative active 2ndPerson plural"
"273","iunt","3IO present indicative active 3rdPerson plural"
"274","iebam","3IO imperfect indicative active 1stPerson singular"
"275","iebas","3IO imperfect indicative active 2ndPerson singular"
"276","iebat","3IO imperfect indicative active 3rdPerson singular"
"277","iebamus","3IO imperfect indicative active 1stPerson plural"
"278","iebatis","3IO imperfect indicative active 2ndPerson plural"
"279","iebant","3IO imperfect indicative active 3rdPerson plural"
"280","iam","3IO future indicative active 1stPerson singular"
"281","ies","3IO future indicative active 2ndPerson singular"
"282","iet","3IO future indicative active 3rdPerson singular"
"283","iemus","3IO future indicative active 1stPerson plural"
"284","ietis","3IO future indicative active 2ndPerson plural"
"285","ient","3IO future indicative active 3rdPerson plural"
"286","iam","3IO present subjunctive active 1stPerson singular"
"287","ias","3IO present subjunctive active 2ndPerson singular"
"288","iat","3IO present subjunctive active 3rdPerson singular"
"289","iamus","3IO present subjunctive active 1stPerson plural"
"290","iatis","3IO present subjunctive active 2ndPerson plural"
"291","iant","3IO present subjunctive active 3rdPerson plural"
"292","erem","3IO imperfect subjunctive active 1stPerson singular"
"293","eres","3IO imperfect subjunctive active 2ndPerson singular"
"294","eret","3IO imperfect subjunctive active 3rdPerson singular"
"295","eremus","3IO imperfect subjunctive active 1stPerson plural"
"296","eretis","3IO imperfect subjunctive active 2ndPerson plural"
"297","erent","3IO imperfect subjunctive active 3rdPerson plural"
"298","i","1st perfect indicative active 1stPerson singular"
"299","isti","1st perfect indicative active 2ndPerson singular"
"300","it","1st perfect indicative active 3rdPerson singular"
"301","imus","1st perfect indicative active 1stPerson plural"
"302","istis","1st perfect indicative active 2ndPerson plural"
"303","erunt","1st perfect indicative active 3rdPerson plural"
"304","eram","1st pluperfect indicative active 1stPerson singular"
"305","eras","1st pluperfect indicative active 2ndPerson singular"
"306","erat","1st pluperfect indicative active 3rdPerson singular"
"307","eramus","1st pluperfect indicative active 1stPerson plural"
"308","eratis","1st pluperfect indicative active 2ndPerson plural"
"309","erant","1st pluperfect indicative active 3rdPerson plural"
"310","ero","1st future perfect indicative active 1stPerson singular"
"311","eris","1st future perfect indicative active 2ndPerson singular"
"312","erit","1st future perfect indicative active 3rdPerson singular"
"313","erimus","1st future perfect indicative active 1stPerson plural"
"314","eritis","1st future perfect indicative active 2ndPerson plural"
"315","erint","1st future perfect indicative active 3rdPerson plural"
"316","erim","1st perfect subjunctive active 1stPerson singular"
"317","eris","1st perfect subjunctive active 2ndPerson singular"
"318","erit","1st perfect subjunctive active 3rdPerson singular"
"319","erimus","1st perfect subjunctive active 1stPerson plural"
"320","eritis","1st perfect subjunctive active 2ndPerson plural"
"321","erint","1st perfect subjunctive active 3rdPerson plural"
"322","issem","1st pluperfect subjunctive active 1stPerson singular"
"323","isses","1st pluperfect subjunctive active 2ndPerson singular"
"324","isset","1st pluperfect subjunctive active 3rdPerson singular"
"325","issemus","1st pluperfect subjunctive active 1stPerson plural"
"326","issetis","1st pluperfect subjunctive active 2ndPerson plural"
"327","issent","1st pluperfect subjunctive active 3rdPerson plural"
"328","i","2nd perfect indicative active 1stPerson singular"
"329","isti","2nd perfect indicative active 2ndPerson singular"
"330","it","2nd perfect indicative active 3rdPerson singular"
"331","imus","2nd perfect indicative active 1stPerson plural"
"332","istis","2nd perfect indicative active 2ndPerson plural"
"333","erunt","2nd perfect indicative active 3rdPerson plural"
"334","eram","2nd pluperfect indicative active 1stPerson singular"
"335","eras","2nd pluperfect indicative active 2ndPerson singular"
"336","erat","2nd pluperfect indicative active 3rdPerson singular"
"337","eramus","2nd pluperfect indicative active 1stPerson plural"
"338","eratis","2nd pluperfect indicative active 2ndPerson plural"
"339","erant","2nd pluperfect indicative active 3rdPerson plural"
"340","ero","2nd future perfect indicative active 1stPerson singular"
"341","eris","2nd future perfect indicative active 2ndPerson singular"
"342","erit","2nd future perfect indicative active 3rdPerson singular"
"343","erimus","2nd future perfect indicative active 1stPerson plural"
"344","eritis","2nd future perfect indicative active 2ndPerson plural"
"345","erint","2nd future perfect indicative active 3rdPerson plural"
"346","erim","2nd perfect subjunctive active 1stPerson singular"
"347","eris","2nd perfect subjunctive active 2ndPerson singular"
"348","erit","2nd perfect subjunctive active 3rdPerson singular"
"349","erimus","2nd perfect subjunctive active 1stPerson plural"
"350","eritis","2nd perfect subjunctive active 2ndPerson plural"
"351","erint","2nd perfect subjunctive active 3rdPerson plural"
"352","issem","2nd pluperfect subjunctive active 1stPerson singular"
"353","isses","2nd pluperfect subjunctive active 2ndPerson singular"
"354","isset","2nd pluperfect subjunctive active 3rdPerson singular"
"355","issemus","2nd pluperfect subjunctive active 1stPerson plural"
"356","issetis","2nd pluperfect subjunctive active 2ndPerson plural"
"357","issent","2nd pluperfect subjunctive active 3rdPerson plural"
"358","i","3rd perfect indicative active 1stPerson singular"
"359","isti","3rd perfect indicative active 2ndPerson singular"
"360","it","3rd perfect indicative active 3rdPerson singular"
"361","imus","3rd perfect indicative active 1stPerson plural"
"362","istis","3rd perfect indicative active 2ndPerson plural"
"363","erunt","3rd perfect indicative active 3rdPerson plural"
"364","eram","3rd pluperfect indicative active 1stPerson singular"
"365","eras","3rd pluperfect indicative active 2ndPerson singular"
"366","erat","3rd pluperfect indicative active 3rdPerson singular"
"367","eramus","3rd pluperfect indicative active 1stPerson plural"
"368","eratis","3rd pluperfect indicative active 2ndPerson plural"
"369","erant","3rd pluperfect indicative active 3rdPerson plural"
"370","ero","3rd future perfect indicative active 1stPerson singular"
"371","eris","3rd future perfect indicative active 2ndPerson singular"
"372","erit","3rd future perfect indicative active 3rdPerson singular"
"373","erimus","3rd future perfect indicative active 1stPerson plural"
"374","eritis","3rd future perfect indicative active 2ndPerson plural"
"375","erint","3rd future perfect indicative active 3rdPerson plural"
"376","erim","3rd perfect subjunctive active 1stPerson singular"
"377","eris","3rd perfect subjunctive active 2ndPerson singular"
"378","erit","3rd perfect subjunctive active 3rdPerson singular"
"379","erimus","3rd perfect subjunctive active 1stPerson plural"
"380","eritis","3rd perfect subjunctive active 2ndPerson plural"
"381","erint","3rd perfect subjunctive active 3rdPerson plural"
"382","issem","3rd pluperfect subjunctive active 1stPerson singular"
"383","isses","3rd pluperfect subjunctive active 2ndPerson singular"
"384","isset","3rd pluperfect subjunctive active 3rdPerson singular"
"385","issemus","3rd pluperfect subjunctive active 1stPerson plural"
"386","issetis","3rd pluperfect subjunctive active 2ndPerson plural"
"387","issent","3rd pluperfect subjunctive active 3rdPerson plural"
"388","i","4th perfect indicative active 1stPerson singular"
"389","isti","4th perfect indicative active 2ndPerson singular"
"390","it","4th perfect indicative active 3rdPerson singular"
"391","imus","4th perfect indicative active 1stPerson plural"
"392","istis","4th perfect indicative active 2ndPerson plural"
"393","erunt","4th perfect indicative active 3rdPerson plural"
"394","eram","4th pluperfect indicative active 1stPerson singular"
"395","eras","4th pluperfect indicative active 2ndPerson singular"
"396","erat","4th pluperfect indicative active 3rdPerson singular"
"397","eramus","4th pluperfect indicative active 1stPerson plural"
"398","eratis","4th pluperfect indicative active 2ndPerson plural"
"399","erant","4th pluperfect indicative active 3rdPerson plural"
"400","ero","4th future perfect indicative active 1stPerson singular"
"401","eris","4th future perfect indicative active 2ndPerson singular"
"402","erit","4th future perfect indicative active 3rdPerson singular"
"403","erimus","4th future perfect indicative active 1stPerson plural"
"404","eritis","4th future perfect indicative active 2ndPerson plural"
"405","erint","4th future perfect indicative active 3rdPerson plural"
"406","erim","4th perfect subjunctive active 1stPerson singular"
"407","eris","4th perfect subjunctive active 2ndPerson singular"
"408","erit","4th perfect subjunctive active 3rdPerson singular"
"409","erimus","4th perfect subjunctive active 1stPerson plural"
"410","eritis","4th perfect subjunctive active 2ndPerson plural"
"411","erint","4th perfect subjunctive active 3rdPerson plural"
"412","issem","4th pluperfect subjunctive active 1stPerson singular"
"413","isses","4th pluperfect subjunctive active 2ndPerson singular"
"414","isset","4th pluperfect subjunctive active 3rdPerson singular"
"415","issemus","4th pluperfect subjunctive active 1stPerson plural"
"416","issetis","4th pluperfect subjunctive active 2ndPerson plural"
"417","issent","4th pluperfect subjunctive active 3rdPerson plural"
"418","isse","1st perfect infinitive active"
"419","isse","2nd perfect infinitive active"
"420","isse","3rd perfect infinitive active"
"421","isse","4th perfect infinitive active"
