"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"1"	"abarceo"	"keep away;"
"2"	"aberceo"	"keep away; forbid;"
"3"	"abhibeo"	"hold at a distance;"
"4"	"abhorreo"	"abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"
"5"	"abnueo"	"refuse, decline; deny (guilt); refuse by a sign, shake head; reject; rule out;"
"6"	"aboleo"	"destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
"7"	"abscondeo"	"hide, conceal, secrete, \"shelter\"; leave behind; bury, engulf, swallow up; keep;"
"8"	"absorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"9"	"absorbeo"	"devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
"10"	"abstergeo"	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"11"	"absterreo"	"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"12"	"abstineo"	"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"13"	"accenseo"	"attach as an attendant to; add to;"
"14"	"acceo"	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"15"	"accieo"	"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
"16"	"aceo"	"be sour;"
"17"	"acueo"	"accentuate;"
"18"	"adaugeo"	"increase, augment, intensify; supplement, make more; exaggerate, magnify;"
"19"	"addecet"	"it is fitting/proper, it behooves;"
"20"	"addenseo"	"make more dense, close up (the ranks);"
"21"	"addoceo"	"teach new/additional accomplishments;"
"22"	"adfleo"	"weep/cry at; weep as an accompaniment;"
"23"	"adfulgeo"	"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
"24"	"adgaudeo"	"delight in; be delighted with;"
"25"	"adhaereo"	"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"26"	"adhereo"	"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
"27"	"adhibeo"	"summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;"
"28"	"adhorreo"	"shudder (in addition);"
"29"	"adimpleo"	"fill up (with); fulfill, carry out (promise/obligation);"
"30"	"adjaceo"	"lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;"
"31"	"adluceo"	"shine upon; light (torch); show/give (opportunity/chance); give/supply light;"
"32"	"admisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"33"	"admisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"34"	"admoneo"	"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"35"	"admordeo"	"bite at/into, gnaw; extract money from; fleece; get possession of their property"
"36"	"admoveo"	"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"37"	"adoleo"	"emit/give out a smell/odor;"
"38"	"adoleo"	"worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;"
"39"	"adpareo"	"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"40"	"adparet"	"it is apparent/evident/clear/certain/visible/noticeable/found; it appears;"
"41"	"adpendeo"	"to be pending;"
"42"	"adpertineo"	"belong to, appertain to; (w/DAT or ad);"
"43"	"adrideo"	"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
"44"	"adsideo"	"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
"45"	"adsoleo"	"be accustomed/in the habit of; be customary accompaniment, go with; be usual;"
"46"	"adsolet"	"it is usual/wont; it is the custom/practice; it is the habit;"
"47"	"adstrideo"	"hiss (at);"
"48"	"adstupeo"	"be stunned/astounded/astonished/amazed (at); be enthralled (by) (w/DAT);"
"49"	"adtineo"	"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
"50"	"adtondeo"	"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
"51"	"adtorqueo"	"whirl at; hurl upwards;"
"52"	"adurgeo"	"pursue; press hard, pursue closely;"
"53"	"aegreo"	"be sick/ill;"
"54"	"aequivaleo"	"have equal power, be equivalent;"
"55"	"affleo"	"weep/cry at; weep as an accompaniment;"
"56"	"affulgeo"	"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
"57"	"aggaudeo"	"delight in; be delighted with;"
"58"	"albeo"	"be/appear white/pale/light-colored/white with age;"
"59"	"algeo"	"be/feel/become cold/chilly/cool; endure cold; be neglected/left in the cold;"
"60"	"alluceo"	"shine upon; light (torch); show/give (opportunity/chance); give/supply light;"
"61"	"ammisceo"	"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
"62"	"ammoneo"	"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
"63"	"ammordeo"	"bite at/into, gnaw; extract money from; fleece; get possession of his property;"
"64"	"ammoveo"	"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
"65"	"amoveo"	"move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;"
"66"	"antehabeo"	"have previously; prefer;"
"67"	"antepolleo"	"be stronger/more powerful than; surpass physically, excel;"
"68"	"appareo"	"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
"69"	"apparet"	"it is apparent/evident/clear/certain/visible/noticeable/found; it appears;"
"70"	"appendeo"	"to be pending;"
"71"	"appertineo"	"belong to, appertain to; (w/DAT or ad);"
"72"	"apsorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"73"	"apsorbeo"	"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
"74"	"apstergeo"	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"75"	"apsterreo"	"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
"76"	"apstineo"	"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
"77"	"arceo"	"ward/keep off/away; keep close, confine; prevent, hinder; protect; separate;"
"78"	"ardeo"	"be on fire; burn, blaze; flash; glow, sparkle; rage; be in a turmoil/love;"
"79"	"areo"	"be dry/parched; be thirsty; be withered (plants/animals, from lack of water);"
"80"	"arrideo"	"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
"81"	"assideo"	"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
"82"	"assoleo"	"be accustomed/in the habit of; be customary accompaniment, go with; be usual;"
"83"	"assolet"	"it is usual/wont; it is the custom/practice; it is the habit;"
"84"	"astrideo"	"hiss (at);"
"85"	"astupeo"	"be stunned/astounded/astonished/amazed (at); be enthralled (by) (w/DAT);"
"86"	"attineo"	"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
"87"	"attondeo"	"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
"88"	"attorqueo"	"whirl at; hurl upwards;"
"89"	"attorreo"	"bake, roast;"
"90"	"auceo"	"observe attentively;"
"91"	"audeo"	"intend, be prepared; dare/have courage (to go/do), act boldly, venture, risk;"
"92"	"augeo"	"increase, enlarge, augment; spread; honor, promote, raise; exalt; make a lot of;"
"93"	"aveo"	"hail; fare/be well; (IMP/INF; greeting/leaving);[ ~ jubeo => I send greetings];"
"94"	"aveo"	"|be eager or anxious; desire, wish for, long after, crave;"
"95"	"beneplaceo"	"please; be pleasing to;"
"96"	"caleo"	"be/feel/be kept warm; be hot with passion/inflamed/active/driven hotly/urged;"
"97"	"calleo"	"be calloused/hardened; grow hard; be experienced/skilled, understand; know how;"
"98"	"calveo"	"be bald/hairless;"
"99"	"candeo"	"be of brilliant whiteness, shine, gleam (white); become/be hot; glow, sparkle;"
"100"	"caneo"	"be/become covered in white; be hoary, be white/gray (with age);"
"101"	"careo"	"be without/absent from/devoid of/free from; miss; abstain from, lack, lose;"
"102"	"caveo"	"beware, avoid, take precautions/defensive action; give/get surety; stipulate;"
"103"	"censeo"	"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
"104"	"censeo"	"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
"105"	"ceveo"	"move haunches in a lewd or effeminate manner, practice such behavior; fawn;"
"106"	"cieo"	"move, set in motion; excite/rouse/stir up; urge on; summon/muster/call up;"
"107"	"cieo"	"|disturb, shake; provoke (war); invoke, call on by name; cite; raise/produce;"
"108"	"circumdoleo"	"suffer on every side;"
"109"	"circumfulgeo"	"shine/glow round about;"
"110"	"circumjaceo"	"lie near/around; (places/persons/objects); border upon (L+S);"
"111"	"circumjaceo"	"lie near/round about, border on; (of persons, places, objects);"
"112"	"circumluceo"	"shine round, illuminate;"
"113"	"circummulceo"	"lick round, caress (with tongue);"
"114"	"circumpendeo"	"hang around, be suspended all around;"
"115"	"circumsedeo"	"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
"116"	"circumsideo"	"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
"117"	"circumstupeo"	"hang sluggishly round; look around with amazement, stand around amazed (L+S);"
"118"	"circumteneo"	"posses; keep/hold around;"
"119"	"circumtergeo"	"wipe/rub round about/all around;"
"120"	"circumtondeo"	"cut/shear/clip all around (hair);"
"121"	"circumtorqueo"	"pull/twist/turn/wind/bend/spin round;"
"122"	"clareo"	"shine bright/clearly; be clear/plain/understandable/obvious; be famous/renowned;"
"123"	"claudeo"	"limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;"
"124"	"clueo"	"be called, be named, be reputed/spoken of/said to be; be reckoned as existing;"
"125"	"coerceo"	"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
"126"	"cohaereo"	"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
"127"	"cohaereo"	"|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;"
"128"	"coherceo"	"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
"129"	"cohereo"	"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
"130"	"cohereo"	"|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;"
"131"	"cohibeo"	"hold together, contain; hold back, restrain, curb, hinder; confine; repress;"
"132"	"coincideo"	"coincide;"
"133"	"colluceo"	"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
"134"	"collugeo"	"lament; grieve together;"
"135"	"commadeo"	"become tender or sodden; become very soft (L+S);"
"136"	"commaneo"	"remain somewhere constantly;"
"137"	"commarceo"	"wither; become wholly faint/inactive;"
"138"	"commereo"	"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"139"	"commisceo"	"intermingle, mix together/up, combine (ingredients); unite/join sexually;"
"140"	"commisceo"	"|mingle (with another race); transact business (w/cum), discuss; confuse;"
"141"	"commiseret"	"one pities/feels sorry for (w/ACC or GEN);"
"142"	"commoneo"	"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
"143"	"commordeo"	"bite/snap at; (literally/figuratively); (sharply/eagerly L+S);"
"144"	"commoveo"	"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
"145"	"commoveo"	"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
"146"	"commulceo"	"caress, coax; soothe, please (much); cajole;"
"147"	"compareo"	"appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;"
"148"	"complaceo"	"please, take fancy of, capture affections of, be acceptable/agreed to;"
"149"	"compleo"	"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
"150"	"compleo"	"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
"151"	"concaleo"	"be/become warm; (thoroughly);"
"152"	"concubeo"	"lie with (sexual and not); have sexual intercourse with;"
"153"	"condeceo"	"be fitting/proper for, suit;"
"154"	"condecet"	"it is fitting/becoming/seemly/meet; (w/ACC + INF);"
"155"	"condenseo"	"compress; pack/press closely together; condense/make firm; (PASS) grow thickly;"
"156"	"condoceo"	"teach, instruct; train, exercise (L+S);"
"157"	"condoleo"	"feel severe pain; suffer greatly/with another; feel another's pain; empathize;"
"158"	"confideo"	"rely on, trust (to); believe, be confident/assured/sure; (Vulgate 4 Ezra 7:98);"
"159"	"confloreo"	"bloom/flourish together;"
"160"	"confoveo"	"care for, tend; warm (L+S); foster; cherish assiduously;"
"161"	"confulgeo"	"shine, gleam; be resplendent; shine brightly, glitter, glisten (L+S);"
"162"	"congaudeo"	"rejoice with one/together;"
"163"	"coniveo"	"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
"164"	"coniveo"	"|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;"
"165"	"conjaceo"	"lie together;"
"166"	"conjubeo"	"command together;"
"167"	"conluceo"	"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
"168"	"conlugeo"	"lament; grieve together;"
"169"	"conmereo"	"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"170"	"conmoneo"	"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
"171"	"conmoveo"	"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
"172"	"conmoveo"	"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
"173"	"conniveo"	"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
"174"	"conniveo"	"|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;"
"175"	"conpareo"	"appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;"
"176"	"conplaceo"	"please, take the fancy of, capture the affections of, be acceptable/agreed to;"
"177"	"conpleo"	"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
"178"	"conpleo"	"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
"179"	"conrideo"	"laugh together; laugh out loud (L+S);"
"180"	"conspondeo"	"exchange pledges; engage/promise mutually (L+S);"
"181"	"constupeo"	"be very much astonished;"
"182"	"consuadeo"	"advocate, recommend/advise strongly; try to persuade (w/DAT);"
"183"	"consueo"	"accustom; become accustomed; be accustomed, inure, habituate. familiarize;"
"184"	"contereo"	"frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;"
"185"	"conterreo"	"frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;"
"186"	"conticeo"	"be silent; keep quiet/still;"
"187"	"contineo"	"secure, maintain, sustain; fasten/hold in position; retain, keep safe, preserve;"
"188"	"contineo"	"|hinder, contain/shut in/confine; stay; restrain/hold back; comprise/form basis;"
"189"	"contineo"	"||keep/hold/hang together/fast; surround, enclose, contain, limit; concentrate;"
"190"	"contorqueo"	"stir up/agitate, make rough (sea); utter with vigor; turn about/sway (emotions);"
"191"	"contorqueo"	"|twist, make twisted/crooked; twirl/whirl, rotate/move in arc; brandish; fling;"
"192"	"contorreo"	"dry up entirely; parch, scorch;"
"193"	"convoveo"	"join in taking a vow/oath; devour together (L+S)?;"
"194"	"correspondeo"	"correspond; harmonize; repay; reciprocate; respond to; answer strongly;"
"195"	"corrideo"	"laugh together; laugh out loud (L+S);"
"196"	"debeo"	"owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
"197"	"decet"	"it is fitting/right/seemly/suitable/proper; it ought; become/adorn/grace;"
"198"	"dedoceo"	"cause (person) to unlearn/discard previous teaching; reeducate; teach opposite;"
"199"	"dedoleo"	"cease to grieve; put an end to one's sorrows;"
"200"	"deferveo"	"go through or cease a process of heating/fermentation; rage furiously;"
"201"	"deferveo"	"|boil thoroughly; ferment completely (wine); effervesce (lime); subside;"
"202"	"defleo"	"cry bitterly; give oneself up to tears; weep much/violently/to exhaustion (L+S);"
"203"	"defleo"	"weep (abundantly) for; mourn loss of; express/feel sorrow about; lament/bewail;"
"204"	"defloreo"	"drop/shed blossoms/petals (before bearing fruit);"
"205"	"dehabeo"	"lack, not to have;"
"206"	"dehibeo"	"owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
"207"	"deleo"	"erase, wipe/scratch/remove (letters/marks), wipe/blot out, expunge, delete;"
"208"	"deleo"	"|annihilate/exterminate, kill every member of a group; put end to, end/abolish;"
"209"	"deleo"	"|destroy completely, demolish/obliterate/crush; ruin; overthrow; nullify/annul;"
"210"	"demereo"	"oblige, please, win the favor of; earn, merit, deserve (well of);"
"211"	"demordeo"	"bite off;"
"212"	"demoveo"	"move away, put away; turn away (eyes); divert (from idea/mood); force to yield;"
"213"	"demoveo"	"|dislodge; turn aside; remove/get rid of; depose/oust; banish; dissociate;"
"214"	"demulceo"	"stroke, stroke down, rub/stroke caressingly/soothingly; soothe/entrance/charm;"
"215"	"denseo"	"thicken/condense, press/crowd together; multiply; cause to come thick and fast;"
"216"	"dependeo"	"hang on/from/down (from); depend; depend upon/on; proceed/be derived from;"
"217"	"depleo"	"drain/draw off, empty out; bleed/let (blood); relieve (of); exhaust; subtract;"
"218"	"derideo"	"mock/deride/laugh at/make fun of; be able to laugh, escape, get off scot free;"
"219"	"derigeo"	"soften, remove hardness;"
"220"	"desideo"	"sit; settle down; remain seated/sitting; loiter/hang about, be idle/slothful;"
"221"	"desideo"	"|settle (sediment); defecate; deteriorate, degenerate; remain inactive (L+S);"
"222"	"desorbeo"	"swallow down;"
"223"	"despondeo"	"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"224"	"despondeo"	"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"225"	"despondeo"	"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"226"	"detergeo"	"wipe/clean off/away; strip/trim/sheer/break/sweep off, rub/wipe clean; cancel;"
"227"	"detergeo"	"|remove, take away; break to pieces; have swept off;"
"228"	"deterreo"	"deter; frighten away; discourage (from), put/keep off, avert; frighten/terrify;"
"229"	"detineo"	"detain, hold; hold off, keep away (from); hold prisoner; retain; occupy;"
"230"	"detineo"	"|hold/keep back (from use); keep, cause to remain; reserve; delay end, protract;"
"231"	"detondeo"	"clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
"232"	"detondeo"	"clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
"233"	"detorqueo"	"turn/twist/bend/pull away/aside; deflect; deviate (path); divert; sway;"
"234"	"detorqueo"	"|distort, bend out of shape; pervert, misrepresent, twist sense of, alter form;"
"235"	"detorreo"	"scorch, burn;"
"236"	"devigeo"	"lose the power (to);"
"237"	"devoveo"	"devote, consecrate; vow, promise solemnly; mark out, appoint; curse, execrate;"
"238"	"devoveo"	"|dedicate to infernal gods (general/army); destine, doom; bewitch, enchant;"
"239"	"diffleo"	"cry/weep away (one's eyes);"
"240"	"diluceo"	"be clear; be evident; be light enough to distinguish objects (L+S);"
"241"	"dimoveo"	"put/set aside, dismiss, divert; displace/remove; exercise, move about;"
"242"	"dimoveo"	"|separate/divide; cleave; make a parting in/between;, part; disperse;"
"243"	"diribeo"	"sort/separate voting tablets/ballots from ballot-box; distribute, dispense;"
"244"	"discaveo"	"beware of; be on one's guard against; keep away from;"
"245"	"dispareo"	"disappear, vanish, vanish out of sight;"
"246"	"displiceo"	"displease;"
"247"	"displodeo"	"explode;"
"248"	"dissideo"	"disagree, be at variance; be separated;"
"249"	"dissuadeo"	"dissuade, advise against;"
"250"	"distineo"	"keep apart, separate; prevent, hold up; distract;"
"251"	"distorqueo"	"twist this way and that;"
"252"	"divergeo"	"diverge;"
"253"	"doceo"	"teach, show, point out;"
"254"	"doleo"	"hurt; feel/suffer pain; grieve; be afflicted/pained/sorry; cause pain/grief;"
"255"	"edoceo"	"teach or inform thoroughly;"
"256"	"effulgeo"	"shine forth, glitter; be or become conspicuous;"
"257"	"egeo"	"need (w/GEN/ABL), lack, want; require, be without;"
"258"	"eluceo"	"shine forth; show itself; be manifest;"
"259"	"emaneo"	"stay away (from); stay out/beyond; absent oneself;"
"260"	"emarceo"	"decay, wither;"
