abarceo, abarcere, -, -	keep away;
emoneo, emonere, emonui, emonitus	exhort; admonish earnestly; warn (Ecc);
emoveo, emovere, emovi, emotus	move away, remove, dislodge;
eniteo, enitere, enitui, -	shine forth/out; be outstanding/conspicuous;
excieo, exciere, -, -	rouse; call out send for; summon; evoke;
exerceo, exercere, exercui, exercitus	exercise, train, drill, practice; enforce, administer; cultivate;
exhibeo, exhibere, exhibui, exhibitus	present; furnish; exhibit; produce;
exhorreo, exhorrere, exhorrui, -	shudder; be terrified;
expleo, explere, explevi, expletus	fill out; fill, fill up, complete, finish; satisfy, satiate;
explodeo, explodere, explodui, exploditus	explode;
extergeo, extergere, extersi, extersus	wipe; wipe dry; wipe away;
exterreo, exterrere, exterrui, exterritus	strike with terror, scare;
extorqueo, extorquere, extorsi, extortus	extort; tear away, twist away; twist/wrench out;
exurgeo, exurgere, exursi, -	squeeze out;
faeteo, faetere, -, -	stink; have a bad/offensive smell/odor;
faveo, favere, favi, fautus	favor (w/DAT), befriend, support, back up;
ferveo, fervere, ferbui, -	be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth;
ferveo, fervere, ferbui, -	|be warm/aroused/inflamed/feverish, reek (w/blood); be active/busy/agitated;
feteo, fetere, -, -	stink; have a bad/offensive smell/odor;
fideiubeo, fideiubere, fideiussi, fideiussus	become surety; go bail; guarantee;
flacceo, flaccere, -, -	be flabby; fail. flag;
flaveo, flavere, -, -	be yellow or gold-colored;
fleo, flere, flevi, fletus	cry for; cry, weep;
floreo, florere, florui, -	flourish, blossom, be prosperous; be in one's prime;
foeteo, foetere, -, -	stink; have a bad/offensive smell/odor;
foveo, fovere, fovi, fotus	keep warm; favor, cherish, maintain, foster;
frendeo, frendere, -, -	gnash the teeth, grind up small;
frigeo, frigere, -, -	be cold; lack vigor; get cold reception; fail to win favor; fall flat (words);
frondeo, frondere, frondui, fronditus	have/put forth leaves, be in leaf; be leafy/full of trees (place); (in spirit);
fulgeo, fulgere, fulsi, -	flash, shine; glow, gleam, glitter, shine forth, be bright;
fulgueo, fulguere, fulgsi, -	glitter/flash/shine brightly, gleam; be brilliant/bright/resplendent; light up;
gaudeo, gaudere, gavisus sum	be glad, rejoice;
glubeo, glubere, -, -	shed its bark; (of a tree);
habeo, habere, habui, habitus	have, hold, consider, think, reason; manage, keep; spend/pass (time);
haereo, haerere, haesi, haesus	stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);
haveo, havere, -, -	hail!; (only IMP/INF); greeting/leaving; [have/ave => hail, farewell];
haveo, havere, -, -	|be eager/anxious (w/INF); desire, wish for, long after, crave;
hebeo, hebere, -, -	be blunt; be sluggish/inactive; grow dim/faint, die down; (of feelings);
hereo, herere, hesi, hesus	stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);
horreo, horrere, horrui, -	dread, shrink from, shudder at; stand on end, bristle; have rough appearance;
illuceo, illucere, illuxi, -	illuminate, shine on;
immineo, imminere, -, -	threaten, be a threat (to); overhang, be imminent; with DAT;
immisceo, immiscere, immiscui, immixtus	mix in, mingle; confuse;
impendeo, impendere, -, -	overhang, hang over; threaten; be imminent, impend; (w/DAT);
impleo, implere, implevi, impletus	fill up; satisfy, fulfill; fill, finish, complete; spend (time);
imprimeo, imprimere, imprimui, imprimitus	print (a book);
indigeo, indigere, indigui, -	need, lack, require (w/GEN or ABL);
indulgeo, indulgere, indulsi, indultus	indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to;
infulgeo, infulgere, infulsi, -	shine in; lighten;
inhaereo, inhaerere, inhaesi, inhaesus	stick/hold fast/to, cling, adhere, fasten on; haunt, dwell in; get teeth in;
inhibeo, inhibere, inhibui, inhibitus	restrain, curb; prevent;
inhorreo, inhorrere, inhorrui, inhorritus	stand on end; bristle up; shiver all over;
inluceo, inlucere, inluxi, -	illuminate, shine on;
inrideo, inridere, inrisi, inrisus	laugh at, ridicule;
insideo, insidere, insidi, insessus	sit (at/on); sit (on) a horse; be seated; (things) rest/lie upon; lie heavy;
insideo, insidere, insidi, insessus	|be situated in/on; inhabit (area); lie in ambush (in); be troublesome (to);
insideo, insidere, insidi, insessus	||be fixed/stamped in; adhere to; grip; take possession of; hold/occupy;
intepeo, intepere, -, -	be lukewarm;
interjaceo, interjacere, interjacui, interjacitus	lie between;
interluceo, interlucere, interluxi, interluctus	shine forth;
intermisceo, intermiscere, intermiscui, intermixtus	intermingle, mix, mix among, mingle;
interniteo, internitere, -, -	shine forth; shine among;
intorqueo, intorquere, intorsi, intortus	twist or turn round, sprain; hurl or launch a missile at;
invideo, invidere, invidi, invisus	envy, regard with envy/ill will; be jealous of; begrudge, refuse;
irrideo, irridere, irrisi, irrisus	ridicule, mock, make fun of; laugh at;
jaceo, jacere, jacui, jacitus	lie; lie down; lie ill/in ruins/prostrate/dead; sleep; be situated;
jubeo, jubere, jussi, jussus	order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray;
langueo, languere, -, -	be tired; be listless/sluggish/unwell/ill; wilt, lack vigor;
lateo, latere, latui, -	lie hidden, lurk; live a retired life, escape notice;
libet, libere, libuit, libitus est	it pleases, is pleasing/agreeable; (w/qui whatever, whichever, no matter);
liceo, licere, licui, -	fetch (price); (with ABL or GEN);
licet, licere, licuit, licitus est	it is permitted, one may; it is all right, lawful, allowed, permitted;
lineo, linere, linui, linitus	smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;
liqueo, liquere, licui, -	be in molten/liquid state; be clear to a person; be evident;
liqueo, liquere, liqui, -	be in molten/liquid state; be clear to a person; be evident;
liquet, liquere, -, -	it is proven, guilt is established; [non ~ => not proven as a verdict/N.L.];
liveo, livere, -, -	be livid or discolored; be envious;
lubet, lubere, lubuit, lubitus est	it pleases/is pleasing/agreeable; please/want/feel like; [w/qui => no matter];
luceo, lucere, luxi, -	shine, emit light (heavenly body); dawn; cause to shine;  be clear/evident;
luceo, lucere, luxi, -	|sparkle/glitter/shine w/reflected light; be conspicuous in merit, excel;
luceo, lucere, luxi, -	||be bright/resplendent; be visible, show up; [lucet => it is (becoming) light];
lugeo, lugere, luxi, luctus	mourn, grieve (over); bewail, lament; be in mourning;
madeo, madere, madui, -	be wet (w/tears/perspiration), be dripping/sodden;
maereo, maerere, -, -	grieve, be sad, mourn; bewail/mourn for/lament; utter mournfully;
maneo, manere, mansi, mansus	remain, stay, abide; wait for; continue, endure, last; spend the night (sexual);
marceo, marcere, -, -	be enfeebled, weak or faint;
mereo, merere, merui, meritus	earn; deserve/merit/have right; win/gain/incur; earn soldier/whore pay, serve;
mineo, minere, -, -	project, overhang;
misceo, miscere, miscui, mixtus	mix, mingle; embroil; confound; stir up;
misereo, miserere, miserui, miseritus	pity, feel pity; show/have mercy/compassion/pity for (w/GEN);
misereo, miserere, miserui, misertus	pity, feel pity; show/have mercy/compassion/pity for (w/GEN);
miseret, miserere, miseruit, -	it distresses/grieves me; I am moved to pity, I feel sorry for (w/me + GEN);
moereo, moerere, -, -	grieve, be sad, mourn; bewail/mourn for/lament; utter mournfully;
moneo, monere, monui, monitus	remind, advise, warn; teach; admonish; foretell, presage;
mordeo, mordere, momordi, morsus	bite; sting; hurt, pain; vex; criticize, carp at; eat, consume; bite/cut into;
moveo, movere, movi, motus	move, stir, agitate, affect, provoke, disturb;  [movere se => dance];
mulceo, mulcere, mulsi, mulsus	stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight;
mulgeo, mulgere, mulsi, mulctus	milk (an animal); extract (milk);
mulgeo, mulgere, mulsi, mulsus	milk (an animal); extract (milk);
neo, nere, nevi, netus	spin; weave; produce by spinning;
nigreo, nigrere, -, -	grow dark; darken;
niteo, nitere, nitui, -	shine, glitter, look bright; be sleek/in good condition; bloom, thrive;
noceo, nocere, nocui, nocitus	harm, hurt; injure (with DAT);
noteo, notere, notui, notitus	notify;
objaceo, objacere, objacui, objacitus	lie near by/at hand/opposite; lie in/block the way; lie exposed/at the mercy o;
oboleo, obolere, obolui, -	stink, smell of; present an odor, give forth a smell, betray oneself w/smell;
obsideo, obsidere, obsedi, obsessus	blockade, besiege, invest, beset; take possession of;
obsorbeo, obsorbere, obsorbui, obsorbitus	swallow; gulp down;
obticeo, obticere, -, -	be silent;
obtineo, obtinere, obtinui, obtentus	get hold of; maintain; obtain; hold fast, occupy; prevail;
obtorqueo, obtorquere, obtorsi, obtortus	bend back; twist or turn;
offulgeo, offulgere, offulsi, -	shine forth in the path of, appear; shine on;
oleo, olere, olui, -	smell of, smell like;
oporteo, oportere, oportui, oportuitus	require (to be done), order;
oportet, oportere, oportuit, -	it is right/proper/necessary; it is becoming; it behooves; ought;
oppleo, opplere, opplevi, oppletus	fill (completely); overspread;
optineo, optinere, optinui, optentus	get hold of; maintain; obtain; hold fast, occupy; prevail;
ostendeo, ostendere, ostendi, -	show; reveal; make clear, point out, display, exhibit;
paeniteo, paenitere, paenitui, -	displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];
paenitet, paenitere, paenituit, -	it displeases, makes angry, offends, dissatisfies, makes sorry;
palleo, pallere, pallui, -	be/look pale; fade; become pale at;
pareo, parere, parui, paritus	obey, be subject/obedient to; submit/yield/comply; pay attention; attend to;
pareo, parere, parui, paritus	|appear, be visible, be seen; be clear/evident (legal);
pateo, patere, patui, -	stand open, be open; extend; be well known; lie open, be accessible;
paveo, pavere, pavi, -	be frightened or terrified at;
peioresceo, peiorescere, peiorescui, peiorescitus	get worse;
pelluceeo, pelluceere, pelluxi, -	transmit/admit/emit light; be transparent; shine through/out; be apparent;
pendeo, pendere, pependi, -	hang, hang down; depend; [~ ab ore => hang upon the lips, listen attentively];
peniteo, penitere, penitui, -	displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];
peniteo, penitere, penitui, -	|do penance;
penitet, penitere, penituit, -	it displeases, makes angry, offends, dissatisfies, makes sorry;
percenseo, percensere, percensui, percensitus	enumerate, recite from start to finish; inspect/examine/go over thoroughly;
percenseo, percensere, percensui, percensitus	|run one's mind over, review; survey, make complete/methodical assessment of;
percieo, perciere, -, -	excite; set in motion;
perdoceo, perdocere, perdocui, perdoctus	instruct thoroughly;
perdoleo, perdolere, perdolui, perdolitus	vex, bother, cause grief/annoyance; grieve, be annoyed;
pergaudeo, pergaudere, -, -	rejoice greatly;
perhibeo, perhibere, perhibui, perhibitus	present, give, bestow; regard, hold; name;
perhorreo, perhorrere, perhorrui, perhorritus	tremble at;
perlateo, perlatere, perlatui, perlatitus	lie well hidden;
perlibet, perlibere, perlibuit, perlibitus est	it is very pleasing/agreeable; please very much;
perluceo, perlucere, perluxi, -	transmit/admit/emit light; be transparent; shine through/out; be apparent;
permaneo, permanere, permansi, permansus	last, continue; remain; endure;
permisceo, permiscere, permiscui, permixtus	mix or mingle together; confound; embroil; disturb thoroughly;
permoveo, permovere, permovi, permotus	stir up; move deeply; influence; agitate;
permulceo, permulcere, permulsi, permulsus	rub gently, stroke, touch gently; charm, please, beguile; soothe, alleviate;
peroleo, perolere, perolui, perolitus	emit strong odor;
persedeo, persedere, persedi, persessus	remain sitting; stay seated;
persuadeo, persuadere, persuasi, persuasus	persuade, convince (with dat.);
pertaedet, pertaedere, pertaeduit, pertaesus est	it wearies; it disgusts; it bores;
perterreo, perterrere, perterrui, perterritus	frighten greatly, terrify;
pertineo, pertinere, pertinui, pertentus	reach; extend; relate to; concerns, pertain to;
pertorqueo, pertorquere, -, -	distort;
perurgueo, perurguere, -, -	press hard on; oppress; take pains; (=perurgeo);
pervideo, pervidere, pervidi, pervisus	take in with the eyes or mind;
pervigeo, pervigere, pervigui, -	continue to bloom;
piget, pigere, -, pigitus est	it disgusts, irks, pains, chagrins, afflicts, grieves;
placeo, placere, placui, placitus	please, satisfy, give pleasure to (with dat.);
placet, placere, -, placitus est	it is pleasing/satisfying, gives pleasure; is believed/settled/agreed/decided;
plaudeo, plaudere, plausi, plausus	clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;
poeniteo, poenitere, poenitui, -	displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];
poenitet, poenitere, poenituit, -	it displeases, makes angry, offends, dissatisfies, makes sorry;
polleo, pollere, -, -	exert power or influence; be strong;
polluceo, pollucere, polluxi, polluctus	offer, serve up;
pollueo, polluere, polluui, polluitus	pollute;
porceo, porcere, -, -	keep off; (archaic);
possideo, possidere, possedi, possessus	seize, hold, be master of; possess, take/hold possession of, occupy; inherit;
posthabeo, posthabere, posthabui, posthabitus	esteem less, subordinate (to); postpone;
praebeo, praebere, praebui, praebitus	present/show/put forward; offer; expose physically oneself; expose/submit/allow;
praebeo, praebere, praebui, praebitus	|make available, supply, provide; be the cause, occasion, produce; render;
praecaveo, praecavere, praecavi, praecautus	guard (against), beware;
praedisponeo, praedisponere, praedisponui, praedisponitus	plan;
praefulgeo, praefulgere, praefulsi, praefultus	shine with outstanding brightness, bean/shine forth; be outstanding, outshine;
praejaceo, praejacere, praejacui, praejacitus	lie before;
praeluceo, praelucere, praeluxi, -	shine forth, outshine; light the way (for);
praemineo, praeminere, -, -	excel; be prominent; (prae-emineo);
praemoneo, praemonere, praemonui, praemonitus	forewarn;
praemordeo, praemordere, praemorsi, praemorsus	bite off; pilfer;
praemoveo, praemovere, praemovi, praemotus	pre-move; move beforehand; stir greatly;
praeniteo, praenitere, praenitui, praenititus	shine forth;
praependeo, praependere, -, -	hang down in front;
praepolleo, praepollere, -, -	be very powerful; be very strong;
praesideo, praesidere, praesedi, -	keep/watch/stand//guard (over); preside (over); supervise/govern/control;
praesupponeo, praesupponere, praesupponui, praesupponitus	presuppose;
praetepeo, praetepere, praetepui, praetepitus	glow before;
praetimeo, praetimere, praetimui, -	fear in advance;
praetorqueo, praetorquere, praetorsi, praetortus	twist round;
praevaleo, praevalere, praevalui, -	prevail; have superior power/force/weight/influence/worth/efficacy (medicine);
praevideo, praevidere, praevidi, praevisus	foresee, see in advance;
prandeo, prandere, prandi, pransus	eat one's morning or midday meal;
prebeo, prebere, prebui, prebitus	present/show/put forward; offer; expose physically oneself; expose/submit/allow;
prebeo, prebere, prebui, prebitus	|make available, supply, provide; be the cause, occasion, produce; render;
prodoceo, prodocere, prodocui, prodoctus	preach (Collins); teach, inculcate; indoctrinate (Nelson);
profisceo, profiscere, profiscui, profiscitus	set out; depart;
prohibeo, prohibere, prohibui, prohibitus	hinder, restrain; forbid, prevent;
prohibesseo, prohibessere, -, -	hinder, restrain; forbid, prevent; (archaic form of prohibeo);
promereo, promerere, promerui, promeritus	deserve, merit; deserve well of; earn; gain;
promineo, prominere, prominui, -	jut out, stick up;
promoveo, promovere, promovi, promotus	move forward;
propendeo, propendere, propendi, propensus	hand down; weigh more; be inclined;
proterreo, proterrere, proterrui, proterritus	frighten;
provideo, providere, providi, provisus	foresee; provide for, make provision; with DAT;
pudeo, pudere, pudui, puditus	be ashamed; make ashamed; [me pudet => I am ashamed];
pudet, pudere, -, puditus est	it shames, make ashamed; [me tui pudet => I am ashamed of you];
puteo, putere, -, -	stink, be rotten/putrid; smell bad; rot/decompose (in such a way as to stink);
ratihabeo, ratihabere, ratihabui, ratihabitus	ratify;
reageo, reagere, reagui, reagitus	react;
recaleo, recalere, recalui, -	grow warm (again);
recalesceo, recalescere, -, -	grow warm (again);
recenseo, recensere, recensui, recensitus	review/examine/survey/muster; enumerate/count, make census/roll; pass in review;
recenseo, recensere, recensui, recensus	review/examine/survey/muster; enumerate/count, make census/roll; pass in review;
recipeo, recipere, recipui, recipitus	record (sounds, pictures);
recudeo, recudere, recudui, recuditus	reprint;
redhibeo, redhibere, redhibui, redhibitus	take back;
redoleo, redolere, redolui, -	emit a scent, be odorous;
referveo, refervere, -, -	boil over;
refoveo, refovere, refovi, refotus	warm again; refresh, revive;
refulgeo, refulgere, refulsi, -	flash back, reflect light; shine brightly; gleam, glitter, glisten;
reimprimeo, reimprimere, reimprimui, reimprimitus	reprint;
reluceo, relucere, reluxi, -	shine out;
remaneo, remanere, remansi, remansus	stay behind; continue, remain;
remisceo, remiscere, remiscui, remistus	mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;
remisceo, remiscere, remiscui, remixtus	mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;
remordeo, remordere, -, remorsus	bite back; gnaw, nag;
removeo, removere, removi, remotus	move back; put away; withdraw; remove;
remulceo, remulcere, remulsi, remulsus	stroke/fold back;
reneo, renere, -, -	unspin; undo;
renideo, renidere, -, -	shine (back), gleam; smile back (at);
repleo, replere, replevi, repletus	fill again; complete, fill;
resideo, residere, resedi, resessus	sit down/on/in; settle; be perched; remain seated/idle/fixed/in place; squat;
resideo, residere, resedi, resessus	|abate/subside; be left over/retained, persist/stay; fall back; W:be encamped;
resorbeo, resorbere, -, -	swallow down;
resplendeo, resplendere, resplendui, -	shine brightly (w/reflected light); radiate light/shine brightly (luminary);
respondeo, respondere, respondi, responsus	answer;
reticeo, reticere, reticui, -	keep silent; give no reply; refrain from speaking/mentioning; leave unsaid;
retineo, retinere, retinui, retentus	hold back, restrain; uphold; delay; hold fast; retain,preserve;
retorqueo, retorquere, retorsi, retortus	twist back; cast back; fling back; turn aside;
rideo, ridere, risi, risus	laugh at (with dat.), laugh; ridicule;
rigeo, rigere, -, -	be stiff or numb; stand on end; be solidified;
rubeo, rubere, -, -	be red, become red;
salveo, salvere, -, -	be well/in good health; [salve => hello/hail/greetings; farewell/goodbye];
scateo, scatere, -, -	gush out, bubble, spring forth; swarm (with), be alive (with);
sedeo, sedere, sedi, sessus	sit, remain; settle; encamp;
semoveo, semovere, semovi, semotus	separate, set aside (Collins); remove, set apart, isolate (Nelson);
seneo, senere, -, -	be old;
sepeleo, sepelere, sepelevi, sepeletus	bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;
sileo, silere, silui, -	be silent, not to speak (about); be quiet; not to function;
soleo, solere, solitus sum	be in the habit of; become accustomed to;
sorbeo, sorbere, sorbui, sorbitus	drink, absorb;
sordeo, sordere, sordui, sorditus	be dirty/soiled; seem mean/unworthy/not good enough/common/coarse/vile/ignoble;
sordesceo, sordescere, sordescui, sordescitus	become dirty; grow wild; be mean;
splendeo, splendere, splendui, -	shine/gleam/glitter, be bright/radiant/resplendent (white/color)/distinguished;
spondeo, spondere, spepondi, sponsus	promise, give pledge/undertaking/surety; contract to give/take in marriage;
spondeo, spondere, spopondi, sponsus	promise, give pledge/undertaking/surety; contract to give/take in marriage;
squaleo, squalere, squalui, -	be covered with a rough or scaly layer; be dirty;
strideo, stridere, stridi, -	creak, squeak, grate, shriek, whistle; (make shrill sound); hiss; gnash;
studeo, studere, studui, -	desire, be eager for; busy oneself with; strive;
stupeo, stupere, stupui, -	be astounded;
suadeo, suadere, suasi, suasus	urge, recommend; suggest; induce; propose, persuade, advise;
subinvideo, subinvidere, -, subinvisus	envy a little; be somewhat envious;
subjaceo, subjacere, subjacui, subjacitus	lie underneath/below/at the foot/edge of/exposed (to); come under heading of;
subluceo, sublucere, -, -	shine faintly, glimmer;
submoneo, submonere, -, -	remind secretly;
submoveo, submovere, submovi, submotus	remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;
subolet, subolere, -, -	make a weak scent; [mihi subolet => I detect/smell/sniff out];
subrideo, subridere, subrisi, subrisus	smile;
subrubeo, subrubere, -, -	be tinged with red or purple;
subtimeo, subtimere, subtimui, -	be somewhat afraid;
suburgeo, suburgere, -, -	drive up close;
sueo, suere, suevi, -	to accustom; to be accustomed;
summoneo, summonere, -, -	remind secretly;
summoveo, summovere, summovi, summotus	remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;
superemineo, supereminere, -, -	overtop, stand out above the level of;
superimmineo, superimminere, -, -	stand above in a threatening position;
superinvaleo, superinvalere, superinvalui, superinvalitus	excel in strength;
superjaceo, superjacere, -, -	lie over; lie upon;
supersedeo, supersedere, supersedi, supersessus	refrain (from), desist (from);
suppleo, supplere, supplevi, suppletus	supply;
suppudet, suppudere, -, -	be somewhat ashamed;
suscenseo, suscensere, suscensui, suscensus	be angry; be indignant with;
sustineo, sustinere, sustinui, sustentus	support; check; put off; put up with; sustain; hold back;
tabeo, tabere, -, -	rot away, decay; waste away;
taceo, tacere, tacui, tacitus	be silent; pass over in silence; leave unmentioned, be silent about something;
taedeo, taedere, taedui, taesus	be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;
taedet, taedere, taeduit, taesus est	be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;
teneo, tenere, tenui, tentus	hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember];
teneo, tenere, tenui, tentus	|represent; support;
tepeo, tepere, tepui, -	be warm/tepid/lukewarm; have body warmth; feel love warmth/glow; fall flat;
tergeo, tergere, tersi, tersus	rub, wipe; wipe off, wipe dry; clean, cleanse;
terreo, terrere, terrui, territus	frighten, scare, terrify, deter;
timeo, timere, timui, -	fear, dread, be afraid (ne + SUB = lest; ut or ne non + SUB = that ... not);
tondeo, tondere, totondi, tonsus	cut, shear, clip;
torpeo, torpere, -, -	be numb or lethargic; be struck motionless from fear;
torqueo, torquere, torsi, tortus	turn, twist; hurl; torture; torment; bend, distort; spin, whirl; wind (round);
torreo, torrere, torrui, tostus	parch, roast, scorch, bake, burn; dry up; begin to burn; harden by charring;
transluceo, translucere, -, -	shine through or across; be transparent;
transmoveo, transmovere, transmovi, transmotus	remove; transfer;
transtineo, transtinere, -, -	go through (Plautus);
tumeo, tumere, -, -	swell, become inflated; be puffed up; be bombastic; be swollen with conceit;
turgeo, turgere, tursi, -	swell out, become swollen or tumid;
umeo, umere, -, -	be wet; be moist;
ungueo, unguere, -, -	anoint/rub (w/oil/unguent); smear with oil/grease; dress (food w/oil); add oil;
urgeo, urgere, ursi, -	press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;
urgeo, urgere, ursi, -	|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;
urgeo, urgere, ursi, -	||hem in; threaten by proximity; press verbally/argument/point; follow up;
urgueo, urguere, ursi, -	press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;
urgueo, urguere, ursi, -	|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;
urgueo, urguere, ursi, -	||hem in; threaten by proximity; press verbally/argument/point; follow up;
valeo, valere, valui, valitus	be strong/powerful/influential/healthy; prevail; [vale => goodbye/farewell];
valet, valere, -, -	farewell, goodbye, adieu (the Roman equivalent of "Live long and prosper");
vegeo, vegere, -, -	stir up, excite;
video, videre, vidi, visus	see, look at; consider; (PASS) seem, seem good, appear, be seen;
vieo, viere, -, vietus	plait, weave; bend/twist into basketwork;
vigeo, vigere, -, -	be strong/vigorous; thrive, flourish, bloom/blossom; be active, be effective;
vireo, virere, virui, -	be green or verdant; be lively or vigorous; be full of youthful vigor;
voveo, vovere, vovi, votus	vow, dedicate, consecrate;
