,V1,V2
1,abhorru,"abhor, shrink back; be averse to, shudder at; differ from; be inconsistent;"
2,abolev,"destroy, efface, obliterate; kill; banish, dispel; put end to. abolish, rescind;"
3,abscondu,"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep;"
4,absorbu,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
5,absorps,"devour; overwhelm; swallow up/engulf, submerge; absorb, suck in; import; dry up;"
6,absters,"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
7,absterru,"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
8,abstinu,"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
9,accensu,attach as an attendant to; add to;
10,acciv,"send for, summon (forth), fetch; invite; (w/mortum) commit suicide;"
11,acuu,accentuate;
12,adaux,"increase, augment, intensify; supplement, make more; exaggerate, magnify;"
13,addocu,teach new/additional accomplishments;
14,adflev,weep/cry at; weep as an accompaniment;
15,adfuls,"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
16,adhaes,"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
17,adhes,"adhere, stick, cling/cleave to; hang on; be attached/concerned/involved;"
18,adhibu,"summon, invite, bring in; consult; put, add; use, employ, apply; hold out to;"
19,adhorru,shudder (in addition);
20,adimplev,"fill up (with); fulfill, carry out (promise/obligation);"
21,adjacu,"lie near to, lie beside; be adjacent/contiguous to, neighbor on; live near;"
22,adlux,shine upon; light (torch); show/give (opportunity/chance); give/supply light;
23,admiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
24,admiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
25,admonu,"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
26,admord,"bite at/into, gnaw; extract money from; fleece; get possession of their property"
27,admov,"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
28,adolu,"worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;"
29,adparu,"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
30,adpend,to be pending;
31,adpertinu,"belong to, appertain to; (w/DAT or ad);"
32,adris,"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
33,adsed,"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
34,adtinu,"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
35,adtond,"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
36,adtors,whirl at; hurl upwards;
37,adurs,"pursue; press hard, pursue closely;"
38,afflev,weep/cry at; weep as an accompaniment;
39,affuls,"shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;"
40,als,be/feel/become cold/chilly/cool; endure cold; be neglected/left in the cold;
41,allux,shine upon; light (torch); show/give (opportunity/chance); give/supply light;
42,ammiscu,"mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;"
43,ammonu,"admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;"
44,ammord,"bite at/into, gnaw; extract money from; fleece; get possession of his property;"
45,ammov,"move up, bring up/near; lean on, conduct; draw near, approach; apply, add;"
46,amov,"move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;"
47,antehabu,have previously; prefer;
48,apparu,"appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);"
49,append,to be pending;
50,appertinu,"belong to, appertain to; (w/DAT or ad);"
51,apsorbu,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
52,apsorps,"devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;"
53,apsters,"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
54,apsterru,"frighten off/away; drive away; deter, discourage; keep away/withhold from, den;"
55,apstinu,"withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;"
56,arcu,"ward/keep off/away; keep close, confine; prevent, hinder; protect; separate;"
57,ars,"be on fire; burn, blaze; flash; glow, sparkle; rage; be in a turmoil/love;"
58,aru,"be dry/parched; be thirsty; be withered (plants/animals, from lack of water);"
59,arris,"smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);"
60,assed,"sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);"
61,attinu,"hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;"
62,attond,"clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;"
63,aucu,observe attentively;
65,aux,"increase, enlarge, augment; spread; honor, promote, raise; exalt; make a lot of;"
66,beneplacu,please; be pleasing to;
67,calu,be/feel/be kept warm; be hot with passion/inflamed/active/driven hotly/urged;
68,callu,"be calloused/hardened; grow hard; be experienced/skilled, understand; know how;"
69,candu,"be of brilliant whiteness, shine, gleam (white); become/be hot; glow, sparkle;"
70,canu,"be/become covered in white; be hoary, be white/gray (with age);"
71,caru,"be without/absent from/devoid of/free from; miss; abstain from, lack, lose;"
72,cav,"beware, avoid, take precautions/defensive action; give/get surety; stipulate;"
73,censu,"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
74,censu,"think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;"
75,cev,"move haunches in a lewd or effeminate manner, practice such behavior; fawn;"
76,civ,"move, set in motion; excite/rouse/stir up; urge on; summon/muster/call up;"
77,civ,"|disturb, shake; provoke (war); invoke, call on by name; cite; raise/produce;"
78,circumdolu,suffer on every side;
79,circumfuls,shine/glow round about;
80,circumjacu,"lie near/round about, border on; (of persons, places, objects);"
81,circumlux,"shine round, illuminate;"
82,circummuls,"lick round, caress (with tongue);"
83,circumpend,"hang around, be suspended all around;"
84,circumsed,"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
85,circumsid,"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
86,circumstupu,"hang sluggishly round; look around with amazement, stand around amazed (L+S);"
87,circumtenu,posses; keep/hold around;
88,circumters,wipe/rub round about/all around;
89,circumtotond,cut/shear/clip all around (hair);
90,circumtos,pull/twist/turn/wind/bend/spin round;
91,claus,"limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;"
92,coercu,"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
93,cohaes,"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
94,cohaes,|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
95,cohercu,"enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
96,cohes,"stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
97,cohes,|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
98,cohibu,"hold together, contain; hold back, restrain, curb, hinder; confine; repress;"
99,coincidu,coincide;
100,collux,"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
101,collux,lament; grieve together;
102,commadu,become tender or sodden; become very soft (L+S);
103,commans,remain somewhere constantly;
104,commeru,"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
105,commiscu,"intermingle, mix together/up, combine (ingredients); unite/join sexually;"
106,commiscu,"|mingle (with another race); transact business (w/cum), discuss; confuse;"
107,commonu,"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
108,commord,bite/snap at; (literally/figuratively); (sharply/eagerly L+S);
109,commov,"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
110,commov,"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
111,commuls,"caress, coax; soothe, please (much); cajole;"
112,comparu,appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
113,complacu,"please, take fancy of, capture affections of, be acceptable/agreed to;"
114,complev,"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
115,complev,"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
116,concalu,be/become warm; (thoroughly);
117,concubu,lie with (sexual and not); have sexual intercourse with;
118,condocu,"teach, instruct; train, exercise (L+S);"
119,condolu,feel severe pain; suffer greatly/with another; feel another's pain; empathize;
121,confloru,bloom/flourish together;
122,confov,"care for, tend; warm (L+S); foster; cherish assiduously;"
123,confuls,"shine, gleam; be resplendent; shine brightly, glitter, glisten (L+S);"
124,congavis,rejoice with one/together;
125,coniv,"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
126,conix,|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
127,conjacu,lie together;
128,conlux,"shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;"
129,conlux,lament; grieve together;
130,conmeru,"merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
131,conmonu,"remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
132,conmov,"shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
133,conmov,"|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
134,conniv,"close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;"
135,connix,|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
136,conparu,appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
137,conplacu,"please, take the fancy of, capture the affections of, be acceptable/agreed to;"
138,conplev,"fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
139,conplev,"|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
140,conris,laugh together; laugh out loud (L+S);
141,conspond,exchange pledges; engage/promise mutually (L+S);
142,constupu,be very much astonished;
143,consuas,"advocate, recommend/advise strongly; try to persuade (w/DAT);"
144,consuev,"accustom; become accustomed; be accustomed, inure, habituate. familiarize;"
145,conteru,frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;
146,conterru,frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;
147,continu,"secure, maintain, sustain; fasten/hold in position; retain, keep safe, preserve;"
148,continu,"|hinder, contain/shut in/confine; stay; restrain/hold back; comprise/form basis;"
149,continu,"||keep/hold/hang together/fast; surround, enclose, contain, limit; concentrate;"
150,contors,"stir up/agitate, make rough (sea); utter with vigor; turn about/sway (emotions);"
151,contors,"|twist, make twisted/crooked; twirl/whirl, rotate/move in arc; brandish; fling;"
152,contorru,"dry up entirely; parch, scorch;"
153,convov,join in taking a vow/oath; devour together (L+S)?;
154,correspond,correspond; harmonize; repay; reciprocate; respond to; answer strongly;
155,corris,laugh together; laugh out loud (L+S);
156,debu,"owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
157,decui,it is fitting/right/seemly/suitable/proper; it ought; become/adorn/grace;
158,dedocu,cause (person) to unlearn/discard previous teaching; reeducate; teach opposite;
159,dedolu,cease to grieve; put an end to one's sorrows;
160,deferbu,go through or cease a process of heating/fermentation; rage furiously;
161,deferbu,|boil thoroughly; ferment completely (wine); effervesce (lime); subside;
162,deflev,cry bitterly; give oneself up to tears; weep much/violently/to exhaustion (L+S);
163,deflev,weep (abundantly) for; mourn loss of; express/feel sorrow about; lament/bewail;
164,defloru,drop/shed blossoms/petals (before bearing fruit);
165,dehabu,"lack, not to have;"
166,dehibu,"owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
167,delev,"erase, wipe/scratch/remove (letters/marks), wipe/blot out, expunge, delete;"
168,delev,"|annihilate/exterminate, kill every member of a group; put end to, end/abolish;"
169,delev,"|destroy completely, demolish/obliterate/crush; ruin; overthrow; nullify/annul;"
170,demer,"oblige, please, win the favor of; earn, merit, deserve (well of);"
171,demov,"move away, put away; turn away (eyes); divert (from idea/mood); force to yield;"
172,demov,|dislodge; turn aside; remove/get rid of; depose/oust; banish; dissociate;
173,demuls,"stroke, stroke down, rub/stroke caressingly/soothingly; soothe/entrance/charm;"
174,depend,hang on/from/down (from); depend; depend upon/on; proceed/be derived from;
175,deplev,"drain/draw off, empty out; bleed/let (blood); relieve (of); exhaust; subtract;"
176,deris,"mock/deride/laugh at/make fun of; be able to laugh, escape, get off scot free;"
177,desed,"sit; settle down; remain seated/sitting; loiter/hang about, be idle/slothful;"
178,desed,"|settle (sediment); defecate; deteriorate, degenerate; remain inactive (L+S);"
179,despepond,"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
180,despond,"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
181,despopond,"betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
182,deters,"wipe/clean off/away; strip/trim/sheer/break/sweep off, rub/wipe clean; cancel;"
183,deters,"|remove, take away; break to pieces; have swept off;"
184,deterru,"deter; frighten away; discourage (from), put/keep off, avert; frighten/terrify;"
185,detinu,"detain, hold; hold off, keep away (from); hold prisoner; retain; occupy;"
186,detinu,"|hold/keep back (from use); keep, cause to remain; reserve; delay end, protract;"
187,detond,"clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
188,detotond,"clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
189,detors,turn/twist/bend/pull away/aside; deflect; deviate (path); divert; sway;
190,detors,"|distort, bend out of shape; pervert, misrepresent, twist sense of, alter form;"
191,detorru,"scorch, burn;"
192,devov,"devote, consecrate; vow, promise solemnly; mark out, appoint; curse, execrate;"
193,devov,"|dedicate to infernal gods (general/army); destine, doom; bewitch, enchant;"
194,difflev,cry/weep away (one's eyes);
195,dilux,be clear; be evident; be light enough to distinguish objects (L+S);
196,dimov,"put/set aside, dismiss, divert; displace/remove; exercise, move about;"
197,dimov,"|separate/divide; cleave; make a parting in/between;, part; disperse;"
198,discav,beware of; be on one's guard against; keep away from;
199,disparu,"disappear, vanish, vanish out of sight;"
200,displicu,displease;
201,displodu,explode;
202,dissed,"disagree, be at variance; be separated;"
203,dissuas,"dissuade, advise against;"
204,distinu,"keep apart, separate; prevent, hold up; distract;"
205,distors,twist this way and that;
206,divergu,diverge;
207,docu,"teach, show, point out;"
208,dolu,hurt; feel/suffer pain; grieve; be afflicted/pained/sorry; cause pain/grief;
209,edocu,teach or inform thoroughly;
210,effuls,"shine forth, glitter; be or become conspicuous;"
211,egu,"need (w/GEN/ABL), lack, want; require, be without;"
212,elux,shine forth; show itself; be manifest;
213,emans,stay away (from); stay out/beyond; absent oneself;
214,emarcu,"decay, wither;"
215,emeru,"earn, obtain by service, merit, deserve; emerge; complete/serve out one's time;"
216,eminu,"stand out; be prominent/preeminent, excel; project;"
217,emonu,exhort; admonish earnestly; warn (Ecc);
218,emov,"move away, remove, dislodge;"
219,enitu,shine forth/out; be outstanding/conspicuous;
220,exercu,"exercise, train, drill, practice; enforce, administer; cultivate;"
221,exhibu,present; furnish; exhibit; produce;
222,exhorru,shudder; be terrified;
223,explev,"fill out; fill, fill up, complete, finish; satisfy, satiate;"
224,explodu,explode;
225,exters,wipe; wipe dry; wipe away;
226,exterru,"strike with terror, scare;"
227,extors,"extort; tear away, twist away; twist/wrench out;"
228,exurs,squeeze out;
229,fav,"favor (w/DAT), befriend, support, back up;"
230,ferbu,be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth;
231,ferbu,"|be warm/aroused/inflamed/feverish, reek (w/blood); be active/busy/agitated;"
232,fideiuss,become surety; go bail; guarantee;
233,flev,"cry for; cry, weep;"
234,floru,"flourish, blossom, be prosperous; be in one's prime;"
235,fov,"keep warm; favor, cherish, maintain, foster;"
236,frondu,"have/put forth leaves, be in leaf; be leafy/full of trees (place); (in spirit);"
237,fuls,"flash, shine; glow, gleam, glitter, shine forth, be bright;"
238,fulgs,"glitter/flash/shine brightly, gleam; be brilliant/bright/resplendent; light up;"
240,habu,"have, hold, consider, think, reason; manage, keep; spend/pass (time);"
241,haes,"stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
242,hes,"stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
243,horru,"dread, shrink from, shudder at; stand on end, bristle; have rough appearance;"
244,illux,"illuminate, shine on;"
245,immiscu,"mix in, mingle; confuse;"
246,implev,"fill up; satisfy, fulfill; fill, finish, complete; spend (time);"
247,imprimu,print (a book);
248,indigu,"need, lack, require (w/GEN or ABL);"
249,induls,indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to;
250,infuls,shine in; lighten;
251,inhaes,"stick/hold fast/to, cling, adhere, fasten on; haunt, dwell in; get teeth in;"
252,inhibu,"restrain, curb; prevent;"
253,inhorru,stand on end; bristle up; shiver all over;
254,inlux,"illuminate, shine on;"
255,inris,"laugh at, ridicule;"
256,insid,sit (at/on); sit (on) a horse; be seated; (things) rest/lie upon; lie heavy;
257,insid,|be situated in/on; inhabit (area); lie in ambush (in); be troublesome (to);
258,insid,||be fixed/stamped in; adhere to; grip; take possession of; hold/occupy;
259,interjacu,lie between;
260,interlux,shine forth;
261,intermiscu,"intermingle, mix, mix among, mingle;"
262,intors,"twist or turn round, sprain; hurl or launch a missile at;"
263,invid,"envy, regard with envy/ill will; be jealous of; begrudge, refuse;"
264,irris,"ridicule, mock, make fun of; laugh at;"
265,jacu,lie; lie down; lie ill/in ruins/prostrate/dead; sleep; be situated;
266,juss,order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray;
267,latu,"lie hidden, lurk; live a retired life, escape notice;"
268,libui,"it pleases, is pleasing/agreeable; (w/qui whatever, whichever, no matter);"
269,licu,fetch (price); (with ABL or GEN);
270,licui,"it is permitted, one may; it is all right, lawful, allowed, permitted;"
271,linu,"smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
272,licu,be in molten/liquid state; be clear to a person; be evident;
273,liqu,be in molten/liquid state; be clear to a person; be evident;
274,lubui,it pleases/is pleasing/agreeable; please/want/feel like; [w/qui => no matter];
275,lux,"shine, emit light (heavenly body); dawn; cause to shine;  be clear/evident;"
276,lux,"|sparkle/glitter/shine w/reflected light; be conspicuous in merit, excel;"
277,lux,"||be bright/resplendent; be visible, show up; [lucet => it is (becoming) light];"
278,lux,"mourn, grieve (over); bewail, lament; be in mourning;"
279,madu,"be wet (w/tears/perspiration), be dripping/sodden;"
280,mans,"remain, stay, abide; wait for; continue, endure, last; spend the night (sexual);"
281,meru,"earn; deserve/merit/have right; win/gain/incur; earn soldier/whore pay, serve;"
282,miscu,"mix, mingle; embroil; confound; stir up;"
283,miseru,"pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
284,miseru,"pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
285,miserui,"it distresses/grieves me; I am moved to pity, I feel sorry for (w/me + GEN);"
286,monu,"remind, advise, warn; teach; admonish; foretell, presage;"
287,momord,"bite; sting; hurt, pain; vex; criticize, carp at; eat, consume; bite/cut into;"
288,mov,"move, stir, agitate, affect, provoke, disturb;  [movere se => dance];"
289,muls,"stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight;"
290,muls,milk (an animal); extract (milk);
291,muls,milk (an animal); extract (milk);
292,nev,spin; weave; produce by spinning;
293,nitu,"shine, glitter, look bright; be sleek/in good condition; bloom, thrive;"
294,nocu,"harm, hurt; injure (with DAT);"
295,notu,notify;
296,objacu,lie near by/at hand/opposite; lie in/block the way; lie exposed/at the mercy o;
297,obolu,"stink, smell of; present an odor, give forth a smell, betray oneself w/smell;"
298,obsed,"blockade, besiege, invest, beset; take possession of;"
299,obsorbu,swallow; gulp down;
300,obtinu,"get hold of; maintain; obtain; hold fast, occupy; prevail;"
301,obtors,bend back; twist or turn;
302,offuls,"shine forth in the path of, appear; shine on;"
303,olu,"smell of, smell like;"
304,oportu,"require (to be done), order;"
305,oportui,it is right/proper/necessary; it is becoming; it behooves; ought;
306,opplev,fill (completely); overspread;
307,optinu,"get hold of; maintain; obtain; hold fast, occupy; prevail;"
308,ostend,"show; reveal; make clear, point out, display, exhibit;"
309,paenitu,"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
310,paenitui,"it displeases, makes angry, offends, dissatisfies, makes sorry;"
311,pallu,be/look pale; fade; become pale at;
312,paru,"obey, be subject/obedient to; submit/yield/comply; pay attention; attend to;"
313,paru,"|appear, be visible, be seen; be clear/evident (legal);"
314,patu,"stand open, be open; extend; be well known; lie open, be accessible;"
315,pav,be frightened or terrified at;
316,peiorescu,get worse;
317,pellux,transmit/admit/emit light; be transparent; shine through/out; be apparent;
318,pepend,"hang, hang down; depend; [~ ab ore => hang upon the lips, listen attentively];"
319,penitu,"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
320,penitu,|do penance;
321,penitui,"it displeases, makes angry, offends, dissatisfies, makes sorry;"
322,percensu,"enumerate, recite from start to finish; inspect/examine/go over thoroughly;"
323,percensu,"|run one's mind over, review; survey, make complete/methodical assessment of;"
324,perdocu,instruct thoroughly;
325,perdolu,"vex, bother, cause grief/annoyance; grieve, be annoyed;"
326,perhibu,"present, give, bestow; regard, hold; name;"
327,perhorru,tremble at;
328,perlatu,lie well hidden;
329,perlibui,it is very pleasing/agreeable; please very much;
330,perlux,transmit/admit/emit light; be transparent; shine through/out; be apparent;
331,permans,"last, continue; remain; endure;"
332,permiscu,mix or mingle together; confound; embroil; disturb thoroughly;
333,permov,stir up; move deeply; influence; agitate;
334,permuls,"rub gently, stroke, touch gently; charm, please, beguile; soothe, alleviate;"
335,perolu,emit strong odor;
336,persed,remain sitting; stay seated;
337,persuas,"persuade, convince (with dat.);"
338,pertaedui,it wearies; it disgusts; it bores;
339,perterru,"frighten greatly, terrify;"
340,pertinu,"reach; extend; relate to; concerns, pertain to;"
341,pervid,take in with the eyes or mind;
342,pervigu,continue to bloom;
343,placu,"please, satisfy, give pleasure to (with dat.);"
344,plaus,"clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;"
345,poenitu,"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry];"
346,poenitui,"it displeases, makes angry, offends, dissatisfies, makes sorry;"
347,pollux,"offer, serve up;"
348,polluu,pollute;
349,possed,"seize, hold, be master of; possess, take/hold possession of, occupy; inherit;"
350,posthabu,"esteem less, subordinate (to); postpone;"
351,praebu,present/show/put forward; offer; expose physically oneself; expose/submit/allow;
352,praebu,"|make available, supply, provide; be the cause, occasion, produce; render;"
353,praecav,"guard (against), beware;"
354,praedisponu,plan;
355,praefuls,"shine with outstanding brightness, bean/shine forth; be outstanding, outshine;"
356,praejacu,lie before;
357,praelux,"shine forth, outshine; light the way (for);"
358,praemonu,forewarn;
359,praemors,bite off; pilfer;
360,praemov,pre-move; move beforehand; stir greatly;
361,praenitu,shine forth;
362,praesed,keep/watch/stand//guard (over); preside (over); supervise/govern/control;
363,praesupponu,presuppose;
364,praetepu,glow before;
365,praetimu,fear in advance;
366,praetors,twist round;
367,praevalu,prevail; have superior power/force/weight/influence/worth/efficacy (medicine);
368,praevid,"foresee, see in advance;"
369,prand,eat one's morning or midday meal;
370,prebu,present/show/put forward; offer; expose physically oneself; expose/submit/allow;
371,prebu,"|make available, supply, provide; be the cause, occasion, produce; render;"
372,prodocu,"preach (Collins); teach, inculcate; indoctrinate (Nelson);"
373,profiscu,set out; depart;
374,prohibu,"hinder, restrain; forbid, prevent;"
375,promeru,"deserve, merit; deserve well of; earn; gain;"
376,prominu,"jut out, stick up;"
377,promov,move forward;
378,propend,hand down; weigh more; be inclined;
379,proterru,frighten;
380,provid,"foresee; provide for, make provision; with DAT;"
381,pudu,be ashamed; make ashamed; [me pudet => I am ashamed];
382,ratihabu,ratify;
383,reagu,react;
384,recalu,grow warm (again);
385,recensu,"review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
386,recensu,"review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
387,recipu,"record (sounds, pictures);"
388,recudu,reprint;
389,redhibu,take back;
390,redolu,"emit a scent, be odorous;"
391,refov,"warm again; refresh, revive;"
392,refuls,"flash back, reflect light; shine brightly; gleam, glitter, glisten;"
393,reimprimu,reprint;
394,relux,shine out;
395,remans,"stay behind; continue, remain;"
396,remiscu,mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;
397,remiscu,mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;
398,remov,move back; put away; withdraw; remove;
399,remuls,stroke/fold back;
400,replev,"fill again; complete, fill;"
401,resed,sit down/on/in; settle; be perched; remain seated/idle/fixed/in place; squat;
402,resed,"|abate/subside; be left over/retained, persist/stay; fall back; W:be encamped;"
403,resplendu,shine brightly (w/reflected light); radiate light/shine brightly (luminary);
404,respond,answer;
405,reticu,keep silent; give no reply; refrain from speaking/mentioning; leave unsaid;
406,retinu,"hold back, restrain; uphold; delay; hold fast; retain,preserve;"
407,retors,twist back; cast back; fling back; turn aside;
408,ris,"laugh at (with dat.), laugh; ridicule;"
409,sed,"sit, remain; settle; encamp;"
410,semov,"separate, set aside (Collins); remove, set apart, isolate (Nelson);"
411,sepelev,"bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
412,silu,"be silent, not to speak (about); be quiet; not to function;"
413,NA,be in the habit of; become accustomed to;
414,sorbu,"drink, absorb;"
415,sordu,be dirty/soiled; seem mean/unworthy/not good enough/common/coarse/vile/ignoble;
416,sordescu,become dirty; grow wild; be mean;
417,splendu,"shine/gleam/glitter, be bright/radiant/resplendent (white/color)/distinguished;"
418,spepond,"promise, give pledge/undertaking/surety; contract to give/take in marriage;"
419,spopond,"promise, give pledge/undertaking/surety; contract to give/take in marriage;"
420,squalu,be covered with a rough or scaly layer; be dirty;
421,strid,"creak, squeak, grate, shriek, whistle; (make shrill sound); hiss; gnash;"
422,studu,"desire, be eager for; busy oneself with; strive;"
423,stupu,be astounded;
424,suas,"urge, recommend; suggest; induce; propose, persuade, advise;"
425,subjacu,lie underneath/below/at the foot/edge of/exposed (to); come under heading of;
426,submov,"remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
427,subris,smile;
428,subtimu,be somewhat afraid;
429,suev,to accustom; to be accustomed;
430,summov,"remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
431,superinvalu,excel in strength;
432,supersed,"refrain (from), desist (from);"
433,supplev,supply;
434,suscensu,be angry; be indignant with;
435,sustinu,support; check; put off; put up with; sustain; hold back;
436,tacu,"be silent; pass over in silence; leave unmentioned, be silent about something;"
437,taedu,be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;
438,taedui,be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;
439,tenu,"hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember];"
440,tenu,|represent; support;
441,tepu,be warm/tepid/lukewarm; have body warmth; feel love warmth/glow; fall flat;
442,ters,"rub, wipe; wipe off, wipe dry; clean, cleanse;"
443,terru,"frighten, scare, terrify, deter;"
444,timu,"fear, dread, be afraid (ne + SUB = lest; ut or ne non + SUB = that ... not);"
445,totond,"cut, shear, clip;"
446,tors,"turn, twist; hurl; torture; torment; bend, distort; spin, whirl; wind (round);"
447,torru,"parch, roast, scorch, bake, burn; dry up; begin to burn; harden by charring;"
448,transmov,remove; transfer;
449,turs,"swell out, become swollen or tumid;"
450,urs,press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;
451,urs,"|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;"
452,urs,||hem in; threaten by proximity; press verbally/argument/point; follow up;
453,urs,press/squeeze/bear hard/down; tread/traverse continually; push/shove/thrust;
454,urs,"|spur on, urge; press hard in attack/pursuit, beset, follow hard on heels of;"
455,urs,||hem in; threaten by proximity; press verbally/argument/point; follow up;
456,valu,be strong/powerful/influential/healthy; prevail; [vale => goodbye/farewell];
457,vid,"see, look at; consider; (PASS) seem, seem good, appear, be seen;"
458,viru,be green or verdant; be lively or vigorous; be full of youthful vigor;
459,vov,"vow, dedicate, consecrate;"
